City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,sur,22.5667,59.5289,22.49,42,36,3.01,OM,"02/14/23,23:25:43"
187,busca,44.5181,7.4743,10.93,80,0,2.06,IT,"02/14/23,23:25:43"
188,biltine,14.5333,20.9167,19.7,21,74,5.88,TD,"02/14/23,23:25:44"
189,christchurch,-43.5333,172.6333,17.11,88,75,9.26,NZ,"02/14/23,23:22:18"
190,puerto narino,-3.7703,-70.3831,25.17,91,96,0.73,CO,"02/14/23,23:25:45"
191,byron bay,-28.65,153.6167,22.19,72,86,4.9,AU,"02/14/23,23:25:45"
192,wanxian,30.8039,108.3897,6.43,91,86,0.53,CN,"02/14/23,23:25:46"
193,gaziantep,37.0594,37.3825,-4.04,63,0,1.03,TR,"02/14/23,23:25:46"
194,noumea,-22.2763,166.4572,28.99,99,5,2.68,NC,"02/14/23,23:21:59"
195,grindavik,63.8424,-22.4338,0.26,93,75,5.14,IS,"02/14/23,23:25:47"
196,batagay-alyta,67.8006,130.4114,-38.66,91,60,1.99,RU,"02/14/23,23:25:47"
197,kidal,18.4411,1.4078,22.68,19,7,6.47,ML,"02/14/23,23:25:48"
198,baker city,44.7749,-117.8344,1.84,56,75,11.32,US,"02/14/23,23:21:05"
199,yulara,-25.2406,130.9889,31.95,25,23,4.6,AU,"02/14/23,23:25:48"
200,hyderabad,17.3753,78.4744,14.73,72,12,1.54,IN,"02/14/23,23:25:49"
201,yeppoon,-23.1333,150.7333,30.88,70,100,4.02,AU,"02/14/23,23:25:49"
202,north bend,43.4065,-124.2243,8.29,81,100,6.17,US,"02/14/23,23:25:50"
203,zaraza,9.3503,-65.3245,26.14,71,98,4.89,VE,"02/14/23,23:25:50"
204,egvekinot,66.3167,-179.1667,-25.53,92,100,1.31,RU,"02/14/23,23:25:51"
205,lagoa,39.05,-27.9833,13.89,63,65,6.17,PT,"02/14/23,23:25:51"
206,aldan,58.6031,125.3894,-22.84,98,100,1.91,RU,"02/14/23,23:25:52"
207,katangli,51.7102,143.2326,-20.8,78,100,6.15,RU,"02/14/23,23:25:52"
208,yerbogachen,61.2767,108.0108,-26.77,100,100,0.79,RU,"02/14/23,23:25:53"
209,rundu,-17.9333,19.7667,21.44,70,89,2.44,NA,"02/14/23,23:25:53"
210,tuatapere,-46.1333,167.6833,18.47,67,77,2.27,NZ,"02/14/23,23:25:54"
211,port-gentil,-0.7193,8.7815,27.98,89,75,1.54,GA,"02/14/23,23:25:54"
212,cape coast,5.1053,-1.2466,26.91,86,34,3.94,GH,"02/14/23,23:25:55"
213,vaitape,-16.5167,-151.75,27.44,72,34,4.23,PF,"02/14/23,23:24:59"
214,mashhad,36.297,59.6062,1.08,100,100,2.06,IR,"02/14/23,23:25:56"
215,penzance,50.1186,-5.5371,11.54,88,87,7.21,GB,"02/14/23,23:25:56"
216,rudnogorsk,57.2639,103.7519,-17.59,98,97,1.86,RU,"02/14/23,23:25:57"
217,nizhniy kuranakh,58.8353,125.4869,-22.59,100,100,1.36,RU,"02/14/23,23:25:57"
218,nikolskoye,59.7035,30.7861,-1.06,98,93,1.18,RU,"02/14/23,23:25:57"
219,andreapol,56.6513,32.2664,-4.66,93,98,3.68,RU,"02/14/23,23:25:58"
220,boulsa,12.6675,-0.5758,25.2,17,0,4.61,BF,"02/14/23,23:25:58"
221,ashtabula,41.7001,-80.7665,9.31,49,0,3.09,US,"02/14/23,23:21:58"
222,husavik,66.0449,-17.3389,2.2,73,62,5.1,IS,"02/14/23,23:25:59"
223,george town,5.4112,100.3354,24.97,99,40,1.54,MY,"02/14/23,23:25:43"
224,torbay,47.6666,-52.7314,-0.24,97,100,11.83,CA,"02/14/23,23:26:00"
225,kloulklubed,7.0419,134.2556,24.28,87,100,8.89,PW,"02/14/23,23:24:18"
